id,name,country,region,category,badge_type,short_desc,long_desc
78636f3a-588f-4241-ba14-b6c610ef9d2d,슈테판성당,오스트리아,비엔나,sightseeing,tour,비엔나 심장부의 고딕 양식 대성당,"비엔나 구시가지 중심에 자리한 오스트리아의 대표적인 고딕 양식 성당입니다. 높이 136m의 남쪽 첨탑이 상징적이며, 25만여 장의 유약 타일로 장식된 지붕이 독특합니다. 내부의 정교한 석조 설교단과 지하 카타콤을 둘러볼 수 있습니다."
09a81615-ac5f-4b90-aedc-4369fb5cc361,가스가타이샤,일본,나라,temple,tour,주홍빛 등롱이 늘어선 천년 고사,"768년에 창건된 나라의 대표 신사로, 약 3,000개의 석등롱과 주홍빛 본전이 인상적입니다. 봄에는 등나무꽃, 가을에는 단풍이 아름다우며, 경내를 자유롭게 돌아다니는 사슴과 함께 참배할 수 있습니다."
ae6a729a-8e4c-476c-8c5c-af19ed34428c,와카쿠사야마전망대,일본,나라,nature,tour,나라 시내를 한눈에 보는 초원 전망대,"해발 342m의 와카쿠사야마(약산) 정상에서 나라 시가지와 도다이지, 흥복사 오중탑을 한눈에 내려다볼 수 있습니다. 잔디로 덮인 완만한 산으로 산책하기 좋으며, 매년 1월에는 산소야키(산 태우기) 행사가 열립니다."
de364bb9-4261-4b10-91f0-8b07949565cd,나라코엔,일본,나라,park,tour,사슴과 함께 거니는 고도의 녹지공원,"도다이지, 가스가타이샤 등 주요 유적을 품고 있는 나라의 대표 공원입니다. 약 1,200마리의 야생 사슴이 자유롭게 돌아다니며, 사슴 센베이를 주며 교감할 수 있습니다. 벚꽃과 단풍 시즌에 특히 아름답습니다."
389226d0-4193-4a59-a946-692ae71fb28c,노보텔나라,일본,나라,hotel,hotel,나라 시내 관광에 편리한 호텔,나라 시내에 위치하여 나라코엔과 주요 관광지에 접근이 편리한 호텔입니다. 깔끔한 객실과 레스토랑을 갖추고 있어 여행 후 편안하게 휴식할 수 있습니다.
e6787169-5a35-4af6-b2c4-ede6ef8b621c,요시키엔정원,일본,나라,park,tour,세 가지 양식이 어우러진 일본 정원,"연못 정원, 이끼 정원, 다화 정원 세 가지 양식을 한 곳에서 감상할 수 있는 나라의 전통 일본 정원입니다. 계절마다 변화하는 자연 풍광 속에서 일본 정원 특유의 고즈넉한 분위기를 만끽할 수 있습니다."
89676fdd-b6aa-4897-a246-d8886dcc3852,동대사(도다이지),일본,나라,temple,tour,세계 최대급 목조 건물 속 대불상,"752년에 창건된 나라의 대표 사찰로, 대불전은 세계 최대급 목조 건축물입니다. 높이 약 15m의 비로자나 대불상이 안치되어 있으며, 기둥의 구멍을 통과하면 소원이 이루어진다는 체험도 인기입니다. 유네스코 세계문화유산에 등재되어 있습니다."
cbf11f4f-956f-4664-bd5b-2aaaeacca1f0,다이칸보,일본,도야마,nature,tour,알펜루트 최고 지점의 대파노라마,"다테야마 쿠로베 알펜루트의 최고 지점(해발 2,316m)에 위치한 전망대입니다. 북알프스의 3,000m급 연봉과 쿠로베댐을 한눈에 조망할 수 있으며, 운이 좋으면 구름 위에서 장대한 산맥 파노라마를 감상할 수 있습니다."
53869adb-844e-48b2-adb0-8300b2aafdec,구로베다이라,일본,도야마,nature,tour,쿠로베댐을 조망하는 고원 전망대,"해발 1,828m에 위치한 구로베다이라 역에서 쿠로베댐과 쿠로베 호수를 내려다볼 수 있는 전망 포인트입니다. 로프웨이로 연결되어 있으며, 다테야마 연봉과 고산 자연을 가까이서 즐길 수 있습니다."
24dd16fb-111d-44ef-be2f-17c0c46b73be,무로도(설벽체험),일본,도야마,nature,tour,"해발 2,450m 설벽 사이를 걷는 체험","다테야마 알펜루트의 중심 거점인 무로도(해발 2,450m)에서 체험하는 설벽 워킹입니다. 봄철(4~6월)에는 높이 최대 20m에 달하는 눈의 대회랑 사이를 걸으며 장엄한 설경을 체험할 수 있습니다."
2910f477-45db-41ec-906f-52ef64dbf70a,고카야마역사마을,일본,도야마,cultural,tour,합장 가옥이 남아있는 세계유산 마을,"기후현과 접한 도야마현 남서부의 전통 취락으로, 유네스코 세계문화유산에 등재된 합장조 가옥이 남아 있습니다. 시라카와고보다 관광객이 적어 한적하게 일본 전통 산촌 풍경을 감상할 수 있습니다."
3b9bc4eb-c4f3-487f-ad9f-fd67e51d5e56,알펜루트횡단,일본,도야마,activity,activity,여섯 가지 교통수단으로 산맥 횡단,"다테야마에서 쿠로베까지 케이블카, 로프웨이, 트롤리버스 등 6가지 교통수단을 갈아타며 북알프스를 횡단하는 산악 관광 루트입니다. 해발 3,000m급 산맥의 절경과 계절별 변화하는 고산 풍경을 감상할 수 있습니다."
7a48223e-e2bf-4faf-91b8-9206b416d2bc,설벽체험,일본,도야마,activity,activity,20m 높이 눈벽 사이를 걷는 체험,"다테야마 무로도(해발 2,450m)에서 봄철(4~6월)에 체험할 수 있는 설벽 워킹입니다. 높이 최대 20m에 달하는 눈의 대회랑 사이를 걸으며 장엄한 설경을 만끽할 수 있습니다."
5efef7f1-e514-4fb6-a715-290466cb58f7,머큐어도야마토나미,일본,도야마,hotel,hotel,도야마 관광 거점의 편안한 호텔,"도야마현 토나미시에 위치한 호텔로, 알펜루트와 시라카와고 관광의 거점으로 이용됩니다. 깔끔한 객실과 편의시설을 갖추고 있어 여행 후 편안하게 쉴 수 있습니다."
5c030a9a-30ab-4f4a-b736-f9e52e284caf,구로베댐,일본,도야마,sightseeing,tour,일본 최대 규모의 아치식 콘크리트 댐,"높이 186m의 일본에서 가장 높은 댐으로, 1963년에 완공되었습니다. 매초 10톤 이상의 물을 방류하는 관광 방류(6~10월)가 장관이며, 댐 위 전망대에서 에메랄드빛 쿠로베 호수와 북알프스를 조망할 수 있습니다."
d3526425-5135-4a9d-8bcb-960a5d8d97ab,오다이바해변공원,일본,도쿄,park,tour,레인보우브릿지와 도쿄만의 해변공원,"도쿄만 임해부도심 오다이바에 위치한 인공 해변 공원입니다. 레인보우브릿지와 도쿄 타워를 배경으로 한 도쿄만 전경이 펼쳐지며, 특히 석양과 야경이 아름답습니다."
756ebe0b-8faf-43d0-bbb9-8270242774c1,신주쿠가부키초,일본,도쿄,sightseeing,tour,화려한 네온사인의 도쿄 최대 번화가,"신주쿠역 동쪽에 펼쳐진 도쿄 최대의 번화가로, 화려한 네온사인과 거대한 3D 고양이 전광판이 유명합니다. 음식점, 오락시설, 쇼핑몰 등이 밀집해 있어 도쿄의 활기찬 도시 분위기를 체험할 수 있습니다."
49d202e5-aace-4d35-ba93-4fd7dce199cf,아사쿠사관음사,일본,도쿄,temple,tour,도쿄에서 가장 오래된 사찰 센소지,"628년에 창건된 도쿄에서 가장 오래된 사찰입니다. 높이 11.7m의 거대한 가미나리몬(뇌문)과 붉은 제등이 상징적이며, 본당까지 이어지는 나카미세 상점가에서 전통 간식과 기념품을 즐길 수 있습니다."
35fb0f94-1ae9-44d9-a1ca-9c64c6b72b73,나카미세거리,일본,도쿄,shopping,tour,센소지로 이어지는 전통 상점가,"아사쿠사 가미나리몬에서 센소지 본당까지 약 250m에 걸쳐 이어지는 일본에서 가장 오래된 상점가 중 하나입니다. 닌교야키, 센베이 등 전통 간식과 기념품을 판매하는 약 90여 개 점포가 늘어서 있습니다."
52ff94a0-5351-49c3-9203-ecea27251bd9,스카이트리,일본,도쿄,sightseeing,tour,634m 도쿄의 랜드마크 전파탑,"높이 634m의 세계 최고 자립식 전파탑으로, 전망대(350m/450m)에서 도쿄 시가지를 360도로 조망할 수 있습니다. 맑은 날에는 후지산까지 보이며, 하부의 소라마치 쇼핑몰에서 쇼핑과 식사도 즐길 수 있습니다."
8e70fe60-4300-4bf0-bc52-b08fb43b08dd,덴푸라+우동정식,일본,도쿄,meal,meal,바삭한 덴푸라와 우동의 조합,"바삭하게 튀긴 새우, 야채 덴푸라와 쫄깃한 우동을 함께 즐기는 일본식 정식입니다. 갓 튀긴 덴푸라의 고소한 맛과 따뜻한 우동 국물이 잘 어울립니다."
