kind,label,url,desktop_title,desktop_h1,desktop_image_count,desktop_loaded_image_count,desktop_placeholder_count,desktop_has_climate,desktop_has_attractions,desktop_has_packages,desktop_has_magazine,desktop_screenshot,mobile_title,mobile_h1,mobile_image_count,mobile_loaded_image_count,mobile_placeholder_count,mobile_has_climate,mobile_has_attractions,mobile_has_packages,mobile_has_magazine,mobile_screenshot
index,destinations,http://127.0.0.1:3000/destinations,여행지 완벽 가이드 | 목적지별 총정리 | 여소남,여행지 완벽 가이드,23,21,0,false,false,true,true,00-index-destinations-desktop.png,여행지 완벽 가이드 | 목적지별 총정리 | 여소남,여행지 완벽 가이드,23,21,0,false,false,true,true,00-index-destinations-mobile.png
region,japan,http://127.0.0.1:3000/destinations/region/japan,일본 여행 패키지 가이드 | 여소남,일본 여행,15,15,0,false,false,true,true,01-region-japan-desktop.png,일본 여행 패키지 가이드 | 여소남,일본 여행,15,15,0,false,false,true,true,01-region-japan-mobile.png
region,china,http://127.0.0.1:3000/destinations/region/china,중국 여행 패키지 가이드 | 여소남,중국 여행,24,17,0,false,false,true,true,02-region-china-desktop.png,중국 여행 패키지 가이드 | 여소남,중국 여행,24,17,0,false,false,true,true,02-region-china-mobile.png
region,southeast-asia,http://127.0.0.1:3000/destinations/region/southeast-asia,동남아 여행 패키지 가이드 | 여소남,동남아 여행,30,22,0,false,false,true,true,03-region-southeast-asia-desktop.png,동남아 여행 패키지 가이드 | 여소남,동남아 여행,30,23,0,false,false,true,true,03-region-southeast-asia-mobile.png
region,macau-hk,http://127.0.0.1:3000/destinations/region/macau-hk,마카오·홍콩 여행 패키지 가이드 | 여소남,마카오·홍콩 여행,0,0,2,false,false,true,true,04-region-macau-hk-desktop.png,마카오·홍콩 여행 패키지 가이드 | 여소남,마카오·홍콩 여행,0,0,2,false,false,true,true,04-region-macau-hk-mobile.png
region,taiwan,http://127.0.0.1:3000/destinations/region/taiwan,대만 여행 패키지 가이드 | 여소남,대만 여행,0,0,2,false,false,true,true,05-region-taiwan-desktop.png,대만 여행 패키지 가이드 | 여소남,대만 여행,0,0,2,false,false,true,true,05-region-taiwan-mobile.png
region,mongolia,http://127.0.0.1:3000/destinations/region/mongolia,몽골 여행 패키지 가이드 | 여소남,몽골 여행,0,0,2,false,false,true,true,06-region-mongolia-desktop.png,몽골 여행 패키지 가이드 | 여소남,몽골 여행,0,0,2,false,false,true,true,06-region-mongolia-mobile.png
region,europe,http://127.0.0.1:3000/destinations/region/europe,유럽 여행 패키지 가이드 | 여소남,유럽 여행,0,0,2,false,false,true,true,07-region-europe-desktop.png,유럽 여행 패키지 가이드 | 여소남,유럽 여행,0,0,2,false,false,true,true,07-region-europe-mobile.png
region,oceania,http://127.0.0.1:3000/destinations/region/oceania,대양주 여행 패키지 가이드 | 여소남,대양주 여행,0,0,2,false,false,true,true,08-region-oceania-desktop.png,대양주 여행 패키지 가이드 | 여소남,대양주 여행,0,0,2,false,false,true,true,08-region-oceania-mobile.png
region,americas,http://127.0.0.1:3000/destinations/region/americas,미주 여행 패키지 가이드 | 여소남,미주 여행,0,0,2,false,false,true,true,09-region-americas-desktop.png,미주 여행 패키지 가이드 | 여소남,미주 여행,0,0,2,false,false,true,true,09-region-americas-mobile.png
detail,연길-백두산,http://127.0.0.1:3000/destinations/%EC%97%B0%EA%B8%B8-%EB%B0%B1%EB%91%90%EC%82%B0,연길/백두산 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,연길/백두산 여행 가이드,8,7,0,true,true,true,true,10-detail-연길-백두산-desktop.png,연길/백두산 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,연길/백두산 여행 가이드,8,6,0,true,true,true,true,10-detail-연길-백두산-mobile.png
detail,푸꾸옥,http://127.0.0.1:3000/destinations/%ED%91%B8%EA%BE%B8%EC%98%A5,푸꾸옥 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,푸꾸옥 여행 가이드,7,7,0,true,true,true,true,11-detail-푸꾸옥-desktop.png,푸꾸옥 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,푸꾸옥 여행 가이드,7,7,0,true,true,true,true,11-detail-푸꾸옥-mobile.png
detail,장가계,http://127.0.0.1:3000/destinations/%EC%9E%A5%EA%B0%80%EA%B3%84,장가계 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,장가계 여행 가이드,17,17,0,true,true,true,true,12-detail-장가계-desktop.png,장가계 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,장가계 여행 가이드,17,17,0,true,true,true,true,12-detail-장가계-mobile.png
detail,나트랑,http://127.0.0.1:3000/destinations/%EB%82%98%ED%8A%B8%EB%9E%91,나트랑 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,나트랑 여행 가이드,18,4,0,true,true,true,true,13-detail-나트랑-desktop.png,나트랑 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,나트랑 여행 가이드,18,5,0,true,true,true,true,13-detail-나트랑-mobile.png
detail,서안,http://127.0.0.1:3000/destinations/%EC%84%9C%EC%95%88,서안 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,서안 여행 가이드,10,10,0,true,true,true,true,14-detail-서안-desktop.png,서안 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,서안 여행 가이드,10,10,0,true,true,true,true,14-detail-서안-mobile.png
detail,다낭,http://127.0.0.1:3000/destinations/%EB%8B%A4%EB%82%AD,다낭 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,다낭 여행 가이드,22,4,0,true,true,true,true,15-detail-다낭-desktop.png,다낭 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,다낭 여행 가이드,22,4,0,true,true,true,true,15-detail-다낭-mobile.png
